player_name,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle
Antonio Valencia,87.0,73.0,62.75,73.75,67.5,84.25,76.25,67.25,61.75,84.25,89.25,88.25,81.25,82.5,79.25,84.0,63.0,79.5,76.75,77.0,77.75,77.0,77.75,48.5,79.75,81.75,68.0,35.0,44.5,38.0
Chris Smalling,50.75,21.0,77.0,68.0,33.0,40.5,25.0,38.5,60.25,63.0,73.0,74.0,62.75,77.5,68.0,61.5,81.75,78.0,78.25,28.75,77.0,28.75,77.0,77.0,44.5,59.75,55.5,77.5,79.0,76.0
Danny Welbeck,67.5,73.75,69.5,66.0,69.0,74.0,58.5,64.25,47.75,70.75,83.0,81.5,80.25,67.5,63.75,73.25,70.75,72.5,63.5,72.25,51.5,72.25,51.5,39.5,75.75,62.5,67.0,22.0,29.75,26.25
Darren Fletcher,79.75,71.5,85.5,85.5,62.75,72.75,60.25,46.0,83.5,80.0,78.25,77.0,61.25,83.75,71.75,77.0,82.0,92.5,77.0,76.5,89.25,76.5,89.25,87.75,78.75,80.0,63.0,87.0,83.0,77.0
Dimitar Berbatov,76.75,87.5,84.25,84.5,89.5,83.0,74.75,68.75,71.0,87.75,70.0,71.25,75.75,82.25,72.5,85.75,83.75,61.25,75.75,74.25,55.5,74.25,55.5,44.5,81.75,83.25,76.25,16.75,21.5,16.75
Gabriel Obertan,73.25,61.5,44.0,75.0,59.0,78.5,52.0,38.0,63.0,76.25,84.25,83.25,79.0,70.0,66.0,70.75,64.0,68.75,63.75,53.0,69.5,53.0,69.5,48.75,66.5,70.25,62.75,43.0,36.0,24.0
Javier Hernandez,63.0,81.0,77.5,67.5,73.0,72.75,68.5,49.5,54.0,76.75,84.0,84.0,81.0,79.75,70.5,74.5,83.5,71.5,65.0,69.5,54.0,69.5,54.0,44.5,80.0,74.25,71.75,21.5,27.25,19.0
Ji-Sung Park,77.0,74.75,68.0,78.0,77.0,82.5,65.0,53.0,63.0,80.75,81.25,81.75,80.0,80.75,79.5,73.5,44.0,92.0,60.25,66.25,59.75,66.25,59.75,61.75,83.5,77.25,73.75,52.75,52.25,44.0
Jonny Evans,59.0,27.0,78.0,74.0,45.0,38.0,31.0,24.0,54.0,65.0,65.5,69.25,50.0,73.5,63.0,41.0,81.0,76.25,75.5,24.0,76.75,24.0,76.75,75.5,46.25,59.0,42.0,77.25,79.0,78.0
Michael Carrick,79.0,63.0,73.0,86.0,67.0,73.0,64.0,77.0,85.66666666666667,81.33333333333333,67.33333333333333,71.0,58.0,80.0,73.0,80.66666666666667,72.0,81.66666666666667,77.66666666666667,81.66666666666667,74.0,81.66666666666667,74.0,88.0,74.0,85.0,78.0,80.33333333333333,81.66666666666667,78.66666666666667
Michael Owen,66.0,80.0,73.0,73.33333333333333,76.66666666666667,77.66666666666667,71.0,65.0,47.0,80.0,79.0,72.66666666666667,79.0,81.66666666666667,79.33333333333333,76.0,72.66666666666667,54.0,57.0,56.666666666666664,56.0,56.666666666666664,56.0,36.0,82.33333333333333,73.33333333333333,84.0,24.333333333333332,25.666666666666668,10.0
Nemanja Vidic,40.0,40.0,92.0,72.25,41.0,48.0,43.0,48.0,62.0,65.5,68.75,70.0,51.5,77.5,74.75,60.0,91.5,71.75,92.25,33.25,92.0,33.25,92.0,84.25,52.25,61.25,66.0,90.25,94.0,85.25
Owen Hargreaves,79.25,49.0,66.0,84.0,59.0,72.0,79.0,83.0,78.25,83.0,76.25,79.5,62.25,85.0,73.25,74.0,69.5,71.75,74.0,77.0,80.0,77.0,80.0,87.75,78.5,80.5,75.25,75.75,80.0,76.0
Patrice Evra,79.5,49.25,74.0,82.0,53.0,81.0,75.25,51.0,76.75,80.25,89.25,86.25,84.0,87.25,78.75,74.0,86.25,90.25,76.0,47.0,86.0,47.0,86.0,82.0,73.75,73.0,62.5,83.75,85.25,91.25
Paul Scholes,83.0,66.0,73.5,90.0,85.0,75.0,74.0,67.0,91.5,87.0,61.5,61.5,71.0,81.0,82.0,88.0,64.0,57.5,73.0,84.5,87.0,84.5,87.0,86.5,89.5,93.0,86.0,58.0,49.0,36.0
Rio Ferdinand,45.0,39.0,87.0,74.0,51.0,58.0,51.0,27.0,73.0,69.0,71.0,72.66666666666667,52.666666666666664,80.0,68.0,59.0,80.33333333333333,66.66666666666667,84.0,29.0,83.66666666666667,29.0,83.66666666666667,85.66666666666667,49.666666666666664,64.66666666666667,66.33333333333333,88.0,94.0,87.0
Ryan Giggs,88.75,76.0,63.5,85.25,81.0,84.25,87.0,82.0,81.25,88.0,77.0,72.0,80.75,73.5,72.0,75.5,62.0,66.0,64.5,77.0,59.25,77.0,59.25,66.0,87.0,89.75,83.75,26.0,46.0,45.0
Wayne Rooney,79.5,92.0,82.0,85.5,89.0,84.75,82.5,79.25,83.25,89.5,84.5,85.0,80.0,87.5,85.0,91.0,79.0,87.25,89.25,84.5,92.5,84.5,92.5,59.25,90.5,88.0,86.5,43.75,49.5,40.0
Wes Brown,70.0,22.0,73.66666666666667,64.66666666666667,31.0,53.0,44.333333333333336,24.0,55.0,65.66666666666667,68.0,69.0,49.0,67.33333333333333,65.33333333333333,43.0,80.33333333333333,70.66666666666667,80.66666666666667,23.666666666666668,79.66666666666667,23.666666666666668,79.66666666666667,77.33333333333333,53.666666666666664,58.0,35.0,80.0,79.66666666666667,79.0
