,id,player_api_id,player_name,player_fifa_api_id,birthDate,wyId,currentTeamId,Position
0,1596,208494,Casemiro,200145,1992-02-23,40756,675,Midfielder
1,1423,361763,Bruno Gaspar,225402,1993-04-21,222766,3176,Defender
2,10598,111237,Vicente Iborra,189560,1988-01-16,3928,1631,Midfielder
3,207,441441,Ager Aketxe,213937,1993-12-30,167117,700,Midfielder
4,3786,97491,Geromel,170802,1985-09-21,15272,5649,Defender
5,6896,102622,Markel Bergara,155984,1986-05-05,3674,698,Midfielder
6,5283,2983,Jorge Molina,154472,1982-04-22,3605,698,Forward
7,3381,41167,Filipe Luis,164169,1985-08-09,3434,679,Defender
8,2025,522750,Dalbert,229148,1993-09-08,298212,3161,Defender
9,742,30955,Andres Iniesta,41,1984-05-11,3353,12804,Midfielder
10,7744,522579,Munir El Haddadi,220253,1995-09-01,278278,696,Forward
11,7744,522579,Munir El Haddadi,220253,1995-09-01,278278,696,Forward
12,10856,159881,Xabier Etxeita,190507,1987-10-31,4113,678,Defender
13,8901,30911,Ricardo Carvalho,3622,1978-05-18,3307,,Defender
14,9669,212472,Sergi Roberto,199564,1992-02-07,3347,676,Defender
15,2619,19243,Diego Costa,179844,1988-10-07,4338,679,Forward
16,7545,154938,Mikel Balenziaga,190223,1988-02-29,3750,678,Defender
17,5687,156097,Keko,194174,1991-12-27,21894,683,Midfielder
18,6943,267365,Marquinhos,207865,1994-05-14,40539,3767,Defender
19,3771,251925,Gerard Deulofeu,202477,1994-03-13,3348,1644,Forward
20,1445,74403,Bruno Saltor,145047,1980-10-01,3278,1651,Defender
21,1030,205278,Asier Illarramendi,190584,1990-03-08,3676,687,Midfielder
22,806,155246,Angelo da Costa,189707,1983-11-12,20604,3166,Goalkeeper
23,945,33028,Aritz Aduriz,106231,1981-02-11,3290,678,Forward
24,1323,635772,Borja Mayoral,228635,1997-04-05,344120,675,Forward
25,1484,150922,Caiuby,189196,1988-07-14,16432,2481,Midfielder
26,4366,30657,Iker Casillas,5479,1981-05-20,3297,9606,Goalkeeper
27,4376,46289,Imanol Agirretxe,161793,1987-02-24,3681,687,Forward
28,9123,244963,Rodrigo Ely,202445,1993-11-03,208694,696,Defender
29,322,189192,Aleix Vidal,202493,1989-08-21,4256,676,Midfielder
30,4367,179772,Iker Muniain,189575,1992-12-19,3425,678,Forward
31,2615,570434,Diego Carlos,219693,1993-03-15,270866,3770,Defender
32,3276,230190,Felipe Anderson,201995,1993-04-15,40806,3162,Midfielder
33,4825,449666,Jemerson,215792,1992-08-24,263766,19830,Defender
34,946,607148,Aritz Elustondo,226221,1994-03-28,278288,687,Defender
35,4704,160844,Jaume Costa,193171,1988-03-18,3534,682,Defender
36,5133,636565,Jon Bautista,233231,1995-07-03,279571,687,Forward
37,5429,246187,Juan Calahorro,203734,1988-05-12,3310,675,Defender
38,6652,28467,Marcelo,176676,1988-05-12,3310,675,Defender
39,2413,37459,David Silva,168542,1986-01-08,8317,1625,Midfielder
40,5221,130667,Joo-Ho Park,191566,1987-01-16,49862,14773,Defender
41,2381,52133,David Luiz,179944,1987-04-22,7892,1610,Defender
42,2335,479217,David Costas,219848,1995-03-26,275296,692,Defender
43,3032,282461,Enric Saborit,201990,1992-04-27,3408,678,Defender
44,8541,30660,Pepe Reina,24630,1982-08-31,7949,3157,Goalkeeper
45,1327,38433,Borja Valero,161956,1985-01-12,3543,3161,Midfielder
46,5868,184533,Koke,193747,1992-01-08,3443,679,Midfielder
47,5868,184533,Koke,193747,1992-01-08,3443,679,Midfielder
48,5252,150739,Jordi Alba,189332,1989-03-21,3269,676,Defender
49,1262,97498,Beto,182629,1982-05-01,83876,4522,Goalkeeper
50,601,213814,Anaitz Arbilla,199986,1987-05-15,4805,701,Defender
51,601,213814,Anaitz Arbilla,199986,1987-05-15,38082,2455,Defender
52,3290,129462,Felipe,188234,1987-05-15,4805,701,Defender
53,3290,129462,Felipe,188234,1987-05-15,38082,2455,Defender
54,5253,193223,Jordi Amat,198198,1992-03-21,3788,684,Defender
55,4291,174472,Iago Aspas,192629,1987-08-01,3840,692,Forward
56,9685,209950,Sergio Escudero,192679,1989-09-02,14852,680,Defender
57,2211,240235,Danilo Pereira,200888,1991-09-09,20496,9606,Midfielder
58,9066,242709,Roberto Firmino,201942,1991-10-02,15808,1612,Forward
59,8927,38239,Ricardo Quaresma,20775,1983-09-26,32597,4489,Forward
60,5478,573463,"Juanpi,20",216468,1994-01-24,5791,683,Midfielder
61,4496,201888,Ja-Cheol Koo,182152,1989-02-27,15781,2481,Midfielder
62,3107,41156,Esteban Granero,178085,1987-07-02,3317,691,Midfielder
63,2004,149855,Cuco Martina,204519,1989-09-25,340,1639,Defender
64,7517,80229,Miiko Albornoz,192128,1990-11-30,50800,2455,Defender
65,3496,38064,Francisco Molinero,166664,1985-07-26,3856,698,Defender
66,7665,292462,Mohamed Salah,209331,1992-06-15,120353,1612,Forward
67,5220,541557,Jony,222943,1991-07-09,6684,696,Midfielder
68,9684,150649,Sergio Canales,190286,1991-02-16,3282,687,Midfielder
69,6589,173382,Marc Muniesa,192766,1992-03-27,3340,756,Defender
70,611,150323,Ander Iturraspe,189574,1989-03-08,3414,678,Midfielder
71,9678,96623,Sergio Asenjo,178750,1989-06-28,3428,682,Goalkeeper
72,4728,573793,Javier Eraso,223608,1990-03-22,6370,712,Midfielder
73,6498,535603,Malcom,222737,1997-02-26,300485,3772,Forward
74,4386,616544,Inigo Lekue,225523,1993-05-04,230862,678,Defender
75,1420,422685,Bruno Fernandes,212198,1994-09-08,243588,9608,Midfielder
76,5051,186054,Joel Robles,195668,1990-06-17,4320,684,Goalkeeper
77,3323,33030,Fernando Llorente,162131,1985-02-26,3424,1624,Forward
78,8866,34681,Renato Augusto,169195,1988-02-08,14785,9130,Midfielder
79,6384,147729,Luiz Gustavo,185221,1987-07-23,14722,3771,Midfielder
80,10595,38469,Verza,142454,1986-09-29,4243,751,Midfielder
81,8870,589344,Renato Sanches,230767,1997-08-18,258162,2444,Midfielder
82,9369,639150,Sabin Merino,226215,1992-01-04,167119,678,Forward
83,10681,213805,Vitolo,199715,1989-11-02,4375,679,Midfielder
84,6289,215299,Lucas Moura,200949,1992-08-13,40765,1624,Forward
85,2780,156726,Douglas Costa,190483,1990-09-14,105334,3159,Midfielder
86,8608,184536,Philippe Coutinho,189242,1992-06-12,3802,676,Forward
87,10631,40193,Vieirinha,177553,1986-01-24,14940,12510,Midfielder
88,7550,43375,Mikel Rico,146111,1984-11-04,5290,678,Midfielder
